region,year,sales
Africa,2011,127186
Africa,2012,144487
Africa,2013,229069
Africa,2014,283034
Africa,2015,178000
Africa,2016,169367
Africa,2017,206446
Africa,2018,190952
Africa,2019,174288
Africa,2020,185346
Africa,2021,166637
Africa,2022,190299
Africa,2023,213083
Africa,2024,233156
Canada,2011,8507
Canada,2012,16099
Canada,2013,19162
Canada,2014,23164
Canada,2015,176175
Canada,2016,204554
Canada,2017,183497
Canada,2018,211376
Canada,2019,175768
Canada,2020,181670
Canada,2021,185194
Canada,2022,189961
Canada,2023,193501
Canada,2024,196092
Caribbean,2011,57043
Caribbean,2012,64149
Caribbean,2013,97593
Caribbean,2014,105496
Caribbean,2015,171048
Caribbean,2016,216722
Caribbean,2017,210262
Caribbean,2018,203835
Caribbean,2019,173438
Caribbean,2020,166221
Caribbean,2021,177967
Caribbean,2022,176592
Caribbean,2023,194773
Caribbean,2024,209502
Central,2011,517540
Central,2012,602061
Central,2013,763736
Central,2014,939062
Central,2015,210711
Central,2016,201602
Central,2017,199854
Central,2018,179171
Central,2019,179825
Central,2020,187493
Central,2021,171481
Central,2022,176183
Central,2023,173150
Central,2024,194561
Central Asia,2011,123238
Central Asia,2012,174135
Central Asia,2013,196324
Central Asia,2014,259142
Central Asia,2015,179082
Central Asia,2016,202929
Central Asia,2017,190915
Central Asia,2018,198003
Central Asia,2019,196476
Central Asia,2020,212099
Central Asia,2021,208680
Central Asia,2022,186956
Central Asia,2023,173245
Central Asia,2024,182944
EMEA,2011,136422
EMEA,2012,163406
EMEA,2013,204654
EMEA,2014,301702
EMEA,2015,200733
EMEA,2016,162957
EMEA,2017,192855
EMEA,2018,178467
EMEA,2019,202235
EMEA,2020,176218
EMEA,2021,159876
EMEA,2022,195761
EMEA,2023,219435
EMEA,2024,171259
East,2011,128684
East,2012,156342
East,2013,180549
East,2014,213259
East,2015,147550
East,2016,188952
East,2017,175116
East,2018,201615
East,2019,174948
East,2020,200434
East,2021,193546
East,2022,184616
East,2023,197700
East,2024,182349
North,2011,212950
North,2012,300228
North,2013,305836
North,2014,429178
North,2015,211120
North,2016,195771
North,2017,185622
North,2018,196537
North,2019,194773
North,2020,200389
North,2021,190596
North,2022,169790
North,2023,194415
North,2024,212405
North Asia,2011,194535
North Asia,2012,152368
North Asia,2013,236886
North Asia,2014,264560
North Asia,2015,199060
North Asia,2016,195921
North Asia,2017,154450
North Asia,2018,181385
North Asia,2019,187963
North Asia,2020,198304
North Asia,2021,192918
North Asia,2022,233697
North Asia,2023,190178
North Asia,2024,193109
Oceania,2011,171424
Oceania,2012,250077
Oceania,2013,316266
Oceania,2014,362440
Oceania,2015,198869
Oceania,2016,179918
Oceania,2017,204357
Oceania,2018,165349
Oceania,2019,170854
Oceania,2020,186028
Oceania,2021,166826
Oceania,2022,171297
Oceania,2023,190813
Oceania,2024,212296
South,2011,284037
South,2012,328002
South,2013,443649
South,2014,545272
South,2015,190013
South,2016,207708
South,2017,214381
South,2018,178265
South,2019,170904
South,2020,205748
South,2021,168756
South,2022,222603
South,2023,176147
South,2024,173850
Southeast Asia,2011,150067
Southeast Asia,2012,186161
Southeast Asia,2013,225142
Southeast Asia,2014,323068
Southeast Asia,2015,204851
Southeast Asia,2016,169598
Southeast Asia,2017,173984
Southeast Asia,2018,166513
Southeast Asia,2019,165605
Southeast Asia,2020,203621
Southeast Asia,2021,178832
Southeast Asia,2022,197607
Southeast Asia,2023,181031
Southeast Asia,2024,197707
West,2011,147878
West,2012,139978
West,2013,186994
West,2014,250664
West,2015,203993
West,2016,173116
West,2017,182277
West,2018,191594
West,2019,209060
West,2020,160390
West,2021,194188
West,2022,204272
West,2023,219693
West,2024,178777
